"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 0.625 2 0.142857142857143 0.2 0.333333333333333 0.6 0.666666666666667 0 0 0.416666666666667 0.142857142857143 0.0769230769230769 0.25 0 0 1 1 1 0.25 0.833333333333333 0 0 1 0.333333333333333 0 0.166666666666667 0 0.2 0.846153846153846 0.571428571428572 0.0416666666666667 0 0.0697674418604651 0.1 0 0.5 0.166666666666667 0 0 0.5 1 0 1 1 0.210526315789474 0.666666666666667 0.320754716981132 0 0 0.25 0.0434782608695652 0 0.0625 0.125 0.0588235294117647 0 0.132075471698113 0 1 0.5 0.692307692307692 0.396551724137931 0.5 0 0 0 1 0 0.25 0.142857142857143 1 0.111111111111111 0.2 0 0 0 0.333333333333333 0 0.100840336134454 0 0.285714285714286 0 0.222222222222222 0.2 0.166666666666667 0 0 0 0.384615384615385 1 0.25 0 0.5 0.5 1 0 0 0.357142857142857 0 0.166666666666667
"3" 1 1 0 0 1 0 0.25 0 0.142857142857143 0 0.416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.142857142857143 0 0 0 0.333333333333333 0 0 0.333333333333333 0 3 0.666666666666667 0 0 0 0 0 0 0 1 0 0 0 1.5 0 0 0 0.6 0 0 0 0.285714285714286 0 0.6 0.166666666666667 0 0 0.875 0.5 0 0 0 2 0 0 0 0.272727272727273 0.4 0 0 0 0.5 0 0 0 0 0 2 1 0 0.571428571428572 0 0 0.230769230769231 1 0.5 0 0.25 0.333333333333333 0 0 0 0 0 0.333333333333333 5 0
"4" 0.5 0 0.25 0.375 0 0 1 1 6 9 3 1 0 0.833333333333333 1 0 4 0 8 1 3 2 1 4 0.166666666666667 0 0.647058823529412 1.5 0.105263157894737 0.191780821917808 0.133333333333333 3 0.5 1 0.125 0 1 0 3 2 1 1 1 0 0 1 0.54 1 2.25 0.142857142857143 0 0.25 0 1.5 0.130434782608696 1.75 0.789473684210526 0 0.5 0 1 0.294117647058823 0.224489795918367 0.666666666666667 0.2 0 1 1 3 3 1 7 0.333333333333333 0.5 4 0 2 5.5 0.111111111111111 0.19047619047619 0.235294117647059 1 0.1 0 0.346153846153846 0.6 1.6 0.266666666666667 0.5 1 0.5 0.428571428571429 0.142857142857143 0 0 0.166666666666667 4 1 2 1
"5" 0.272727272727273 0.181818181818182 0 0 0 2 0.142857142857143 1 0.5 0 1 0 0 0.142857142857143 2 1.66666666666667 1.2 0 0 0 0.25 0 0 0 0 0 0 3 0.6 0.117647058823529 0.333333333333333 0.111111111111111 1 0.5 0 1 0 0 0.5 0.04 0 0 0 0.153846153846154 0.25 0 0.121212121212121 0.666666666666667 0 0.5 1 0.5 0 0 0.0666666666666667 0.5 0 0 1 0 0 0 0.0833333333333333 1 0.4 1 2 0.75 1 0 0 0.357142857142857 0 0 0 0 0 3.5 0.25 3 0.833333333333333 0.5 0 0.5 3 1 1.83333333333333 1 0.333333333333333 0.25 0 1 0 0 0 1 0 0.5 0 0.461538461538462
"6" 0 0 0.111111111111111 0 0 0.0666666666666667 0 0 0.25 0 0.142857142857143 0 0.5 0 0.333333333333333 0 0 0 0 0 1 0 1 0.666666666666667 0.25 0.5 0 0.212121212121212 0.25 0 0.285714285714286 0 0.2 0.2 0 0 0 0 0 1 1 0 0 0 1 0 0.5 0.17948717948718 0 2 0 0 0.285714285714286 0 0.285714285714286 0 0.12 0.5 0.285714285714286 1 3 0.833333333333333 0.0526315789473684 1 0.142857142857143 0 0.666666666666667 0 0 1 1 0.25 0 0.2 0.5 0.333333333333333 0 1.5 5 0.266666666666667 0.5 0.2 0.166666666666667 0.333333333333333 0.142857142857143 0 0.175438596491228 0 0.133333333333333 0 0.1875 0 0.25 0 0 0.5 1.5 0 0 1.5
"7" 0 0.222222222222222 0.538461538461539 0 0 0 0 1 3 0 0.333333333333333 0 0.2 0.75 0.166666666666667 0 1 3 2 2 5 1 0.25 1 1 1 1 1 2 0.242424242424243 0 1 0.125 1 0.0526315789473684 0.333333333333333 0.625 0 1 0.5 2 0 0 1 0.5 0 0.115384615384615 0.333333333333333 0.5 0.2 0 1 0.25 1 0.04 2 0 2 0.428571428571429 1.5 0.666666666666667 0.0769230769230769 0 0 0 1 1.33333333333333 0.1 0.125 0.0294117647058823 0.1 0.03125 0.037037037037037 0 0 0 0.0909090909090909 0.125 0.0434782608695652 0.0588235294117647 0 0 0.333333333333333 0.25 0.0689655172413793 0 0.116666666666667 0.25 0 0.111111111111111 0.4 0 0.333333333333333 0 2 1 0 0.5 0 0
"8" 0 0 1.5 0 0.8 0 3 2 0 1.75 1 1 0.166666666666667 0.5 0.5 4 7 2 0.111111111111111 0.5 0.352941176470588 0 2 0 0 8 4 2 0.0909090909090909 0.0555555555555555 0 0 0 0 1 1 1 1.25 1 0 0 5 1 1 2 0 0.666666666666667 0 0.125 0 0.3 1.2 0.846153846153846 0.0303030303030303 0 0 4 0 0.2 0 0 0 0.2 1 0 2 1 0 0 0.333333333333333 2 0.166666666666667 0 0.166666666666667 1 0.166666666666667 1 0.285714285714286 7 5 1 0.666666666666667 0.5 0 5 1 3 3 1.14285714285714 0 2.66666666666667 0 2.5 0 0 0 0.333333333333333 0.222222222222222 0 3.5
"9" 0.111111111111111 0.5 0.166666666666667 0.5 0 4 0 6 4 1.2 0.0625 0 0.25 0.222222222222222 0.166666666666667 1.625 0 0 0 1 2 0 1 0 1 1 1 3 1 9 11 2 1 2 3 0 3 6 2 2 0.857142857142857 0 0.666666666666667 0.333333333333333 0.0714285714285715 1 0.25 1 0 3 0.578947368421053 0.151515151515152 1 0.0909090909090909 0.333333333333333 1 0.25 0 2 0.333333333333333 0.25 0.0526315789473684 0.0769230769230769 0.333333333333333 0.5 2 0.34375 0 2 0.75 0 0 0.230769230769231 0 0.5 2 0 1.66666666666667 0.142857142857143 0.205128205128205 0.0769230769230769 0.0625 0 0.181818181818182 0 0 0 0.666666666666667 0.2 0 0 0 0 0 0 1 0 1 1 1.5
"10" 1.5 0 0 1 1 1 0.333333333333333 0.5 1 0.166666666666667 0.0588235294117647 0 1 0.142857142857143 0.142857142857143 0.285714285714286 0 0.75 1 0 0.666666666666667 2 0 5 1 1 0 0 3 5 2 0 0.142857142857143 0.2 0.125 2 0.25 1 0.176470588235294 1.66666666666667 0.0333333333333333 0.142857142857143 0 1 0.142857142857143 1 3 3 4 0.5 0.25 0.166666666666667 0.111111111111111 0.333333333333333 0.142857142857143 3 1.6 0.5 0.0769230769230769 0.0588235294117647 0 0.5 0.111111111111111 0.75 0.5 1.66666666666667 6 0.0869565217391305 0.25 0.2 0.0434782608695652 0 0.666666666666667 0.142857142857143 0.048780487804878 1 3 0.0588235294117647 0 0.153846153846154 0.2 0 0.0740740740740741 0.0714285714285714 0.166666666666667 1 0.166666666666667 0 0 0.375 0 2 0.142857142857143 0 0.4 0.2 0 0 0 0.375
